"abb","Abbs","a fucking amazing foursome of friends...very good friends;] (their inicials just happen to spell abbs)"
"ace","Aces","aces has been american slang for ""the best"" at least since the first years of this century, deriving from aces, the highest cards in poker and other card games.  but ace for an expert combat flier who has shot down five or more enemy planes appears to have been borrowed from the french as, ""ace,"" during world war 1.  from there ace was extended to include an expert at anything.  the card name ace comes ultimately from the greek 'as, one."
"ach","Ach","1) a scottish version of saying 'oh' instead they say 'ach noh' 2) a very lethal weapon that is quite blunt to increase the pain when a [spleenach] operation is performed"
"aco","Aaco","male name. also pronounced aaco, ako or aako.

aco is a nickname for diaco (deioces) was, according to herodotus, the first king of the median empire. it is a male name in kurdish-speaking areas. it is a non-religious name for boys with medes, kurdish heritage. it means the leader or the boss."
"act","Act","(1) (also act assessment) a standardized test, administered mostly in the midwestern united states by the act organization.  act stood for american college testing until 1996 when, in a similar manner to the [sat], it shortened its name to act to ""better reflect the broad range of services"" they offer to high school students.  (2) an abbreviation for australian capital territory, which contains canberra, australia's capital (not sydney)."
"adi","Adi'S","the coolest name in the universe-  only fit for the coolest people in the universe... well cool,uhm, besides being kinda strange...   erh, lets go with entertainingly eccentric.   *~z1~*   (see also [marky mark], [johnny depp], and [spike], for references to adi's luvahs.)"
"adz","Adz","a derogatory term used in the customization website customize.org. a former member of the site, adz, broke the rules and insulted people many times. it came to the point of which ""adz"" could be used as a word, meaning, 1. anyone who acted in a way adz did, 2. anyone that you have suspicions against, 3. or a word to be added for emphasis. not to be confused with the carpentry tool (also called ""adz"")"
"aep","Aep","a place where 'bad' kids go because they misbehave in school, or they fail to attend. most of the kids that are in aep are dumbasses who got put in there for doing stupid things such as ""threatening someone"" or ""stealing [something] from school."" while those type of kids are in aep, they are also beaten by the real kids who belong in aep. such of those are ones who are in aep for throwing desks at teachers, bringing weapons to school, beating someone/something, selling drugs, etc. ah, gotta love aep.  aep = alternative education program. it is like regular school but located elsewhere off your regular school-campus. in aep, you do not ""gain the education like the ones on regular campus."" well, obviously, they don't give a shit if they're in aep. most aep schools require 'students' wear a uniform which in the most part is a white tee and khaki's, which makes the group look more dangerous if they're walking in large groups."
"aeu","Aeus","aeus is a synonym for buttocks."
"aff","Affs","a brazilian slang word used when you don't like something, kind of like a sigh

uma giria brasileira (usada só no batepapos) que voce usa quando voce nao gosta de alguma coisa ...é tipo uma suspira affs"
"agd","A.G.D","a.g.d means a ganja day. a person who is high all day without stopping."
"agg","Agg","a paintball term believed to be started by the team/group hostile kids (starters of hk army).  refers to being cool, in an unexplainable agg way.  agg isnt cool agg is agg. it is cooler than cool.   they way you play can boost your agg status aswell. ex. your stance, composure and the way you shoot."
"agn","Again","again"
"ahb","Ah B","satan eats cheese wiz, yell ""ah b"" when you have encountered a retarded asian person named elizabeth kim.  then bash her in the face with a 9 iron and trip balls on heroin afterward."
"ahe","Ah-He","to ahe someone. by yelling (ah-he) or screeching ahe for no reason"
"ahi","Ahoti","a word in hebrew slang, which means 'my brother'. it is used to refer to a friebd who is very close to us.(like bro in english) it also can be used to refer to a woman with a little change: ahoti."
"ahk","Ahki","1. the arabic and hebrew term for ""brother.""  2. slang for brother, deriving from it's use by inner-city groups with islamic or hebraic backgrounds.  see also: ahki and ak
"
"ahn","Ahn","n. in [pittsburghese], ""ahn"" can refer to two things:

1. the metallic chemical element with the symbol fe (latin: ferrum) and atomic number 26. ahn is a group 8 and period 4 element and is therefore classified as a transition metal. ahn and its alloys ([still]) are by far the most common metals and the most common ferromagnetic materials in everyday use. alloying ahn with appropriate small amounts (up to a few per cent) of other metals and carbon produces [still], which was the main industry of [picksburgh] for a century [n'at].

2. products made by the ahn city brewing company--formerly the [picksburgh] brewing company. the company's most popular products are: ahn city beer (a macro-style [pilsner], and the product meant when stating that one wants an ""ahn.""), i.c light, augustiner and augustiner dark. icbc also produces: american, american light, american ice, old german, brigade and brigade light."
"aho","Ahou","a japanese word meaning idiot, fool, stupid and (japanese word) ""baka"". ""ahou"" somewhat stronger in sense. this is a kansai (kyoto, osaka region) dialect."
"aid","Aids","a very dangerous disease that currently can't be cured. it will destroy your immune system until even a cold can kill you.   contrary to what most of these homophobic twelve-year-olds added as the definition, aids can be aquired through any form of sex with a carrier. in fact, you don't even have to have sex. just sharing blood or drinking breastmilk (this applies to everyone, not just babies) can give you aids."
"aie","Aie'","'aie' is an abbreviation of applied internet english. "
"aik","Aik","the history of aik  aik are one of the most successful clubs in the history of swedish sports. it´s also the biggest club with approximately 17 000 members. here is a short recapture of what has happened since the club was founded in 1891.  the foundation of aik took place on 15th february 1891 in stockholm. the name is an abbreviation for ""allmänna idrottsklubben"", which in direct translation means ""the general sports club"". the name was choosen to indicate that the club was open for everyone and also that one of the main events was to be athletics, at that time called ""allmän idrott"" in swedish.  indeed aik were successful in athletics winning no less than 26 swedish championship titles before the section was defunct in 1916. in 1908 the club set an official world record at 4x200 metres. aik also competed in a number of other sports, among them fencing, skating, cycling, wrestling, gymnastics etc. in 1896 the first attempts in football took place and as early as in 1900 aik became champions.  the present club badge was created in 1898. later on it was considered ""the most beautiful badge in the world"" after a contest in london that included badges from england, spain, italy and france.  between 1900 and 1923 aik became swedish champions in football six times. during the 20's the club recieved its nickname ""gnaget"" (translated: the gnaw). the reason is believed to be the colours of the black shirts, that after too many washes turned rat-alike (grey). supporters of aik are called ""gnagare"" (translated: rodents). that same decade the first edition of the swedish premier league in football ""allsvenskan"" was introduced and aik were of course one of the founder members. since then the team has played in allsvenskan all seasons but three. also the first attempts in icehockey took place.  the 30's was the most successful decade (so far) in the history of aik. in bandy aik were crowned champions for the third time, the football side twice won the title and in icehockey the three first championship titles were captured. for the next three decades it was the ""smaller"" sections in aik that contributed to the glory. aik won championships in handball, skating, bowling, badminton and tennis.  during the 70's aik started women's team in football, bandy and bowling. in 1974 the king of sweden, his majesty king carl xvi gustaf, became aik's patron and first member of honour.  in 1982 the icehockey team won the championship for the first time in 35 years and repeated the feat two years later. in 1992 it was in football that aik won an eagerly awaited title - champions for the first time in 55 years. six years later that achievement was repeated. to that could be added three cup-titles between 1996 and 1999. the most successful team in the last decades however, has been the women's team in bandy with nine championships between 1988 and 2004.  aik have been represented in a number of sports throughout the years winning over 170 swedish championship titles. in the late 80's aik competed in only four sports: football, icehockey, bandy and bowling. since then the club has grown and by 2003 also take part in floorball and handball."
"aim","Aim","n. - an internet text messaging program that exchanges communications between users in real time, and allows college students to leave nifty online ""away"" messages for their buddies all day.  v. - to aim someone is to send them a message using the aim program. "
"air","Air","(noun) abreviation of 'length in the ~' [air] is used by extreme sports enthusiasts ([boarder]s, [skater]s, [bmx]ers, [traceur]s) to refer to the time spent in the air between a jump's takeoff and landing; or the distance or height od such a jump."
"aja","Aja","is the very meaning for someone who is of mocha colored skin, a beautiful woman, with a fantastic attitude along with their amazing sense of humor. when you think of the name aja, pronounced asia or azha, exoticness comes to mind. anyone with the name aja, will be remembered by all. or could be remembered as the girl with the name like a continent, could sometimes be mistakenly called china or france."
"ajr","A.J.R","a.j.r is an acronym for anal jew rape. closely related to going buck wild on someones ass, it can be used to describe a brutal way you fight, clean, cook, etc."
"ake","Ake","an ake is a young, intellegent, humerous, sensitive, stylish, way too gorgeous person who knows everything about her best friends and knows how to play along and how to act cool around anyone she likes. she's a real, not a fake. someone who hates an ake is clearly blind. ake is a beloved friend who always there for you. she will walk beside you and be your friend. not behind you to follow, or infront for she may not lead. ake has many guys trippin for her. she likes single, but will always have a lover for life(: we all love an ake<3"
"akh","Akhi","short for akhi, which is arabic for brother. can replace, ""bruh, bro, homie,"" etc. can be heard in casual conversation in american cities with high african american muslim populations such as philly, atlanta, new york, etc."
"akk","A.K.K","a.k.k. a group created by a few conservative americans with the ideal to protect everything that is relevant to freedom, liberty, peace, and democracy. the a.k.k. (anti-kommunist klan). as to why it's made out to be like that, it's because it looks better that way."
"aks","Aks","aks is a common way to pronounce ""ask.""

etymologically, the word ask is derived from the old english word for ""ask"". the old english term had two forms, acsian and ascian, the former being the literary standard until about 1600 when the latter gained the imprimatur of being the high style variant. the /aks/ variant was and still is utilized in several dialects of united kingdom and is particularly associated with the west country dialect of england.

in the united states, the /aks/ variant is a particular feature of african american vernacular english (aave). it is possible that /aks/ variant was also the form most commonly used in the dialect of english to which the slaves were originally exposed, and has persisted in aave for the same sociolinguistic reasons that other features persist. the /aks/ variable in aave is unique in that it is the only example of such a phonetic shift, and thus is unique to the word ""ask.""

the /aks/ variant is an example of the natural switching of sounds called metathesis. this occurs usually because in the speech sound patterns of that language or dialect that pronunciation may be easier. this is not a degenerate way of speaking. all languages and dialects are linguistically equal as they are all systematic and rule governed.

racist motherfuckers."
"aky","Ankly","someone who is frankly, weird. often comes at things from a completely different point of view than anyone else. bold, fun, attractive and generally well liked by her peers. loves sweets and kittens.

xd is her default expression."
"ala","Ala","ala is a complicated person but within her lies a wonderful person who is bursting with happiness. she doesn't need popularity or a huge friend circle. she tends to push people away but the smart ones will come back crawling to her saving her from the misery she bought upon herself. she likes to be weird and loves singing randomly out loud even if she is not the best of singers. ala will infect you with her originality and uniqueness, and to be frank ala is a complete and utter freak which you will grow to lover....hopefully. with ala you will be on a roller-coaster that only goes up!"
"ale","Alted","a type of beer, which is an alcoholic beverage made from grain. in the case of ale malted barley and sometimes malted wheat are the key ingredients. ale is the world's oldest form of beer dating back before the advent of agriculture. ale and alcoholic beverages are likely the reason humanity settled down to cultivate grain and left the more efficient and enjoyable hunter gatherer lifestyle. before there was lager, which is a fairly recent type of beer, there was ale. ales use top fermenting strains of yeast and are brewed and often served at warmer temperatures than lager. ales generally have a more robust taste, are more complex and are best consumed cool (50f or a bit warmer) rather than cold.  common styles of ale include pale ale, brown ale, dubbel, witbeir, bitter, hefeweizen, stout, barley wine, lambic and porter. there has been a fairly recent resurgence of ales brewed in the us and around the world which rose out of the microbrewery / craft brewing revolution that began in the early 1980s"
"alf","Alf","alf! the brown creature from the popular 80's sitcom of the same name.  a certain law & order actor bears a striking resemblance to alf. you might be stuck in the 80's if you still have an alf t-shirt."
"ali","Ali","a best friend, someone that you know you can always rely on through anything and everything. you know that your ali wont ever desert you and will always be there for you to talk to, you can tell your ali absolutely anything. your ali should only be your ali if you can trust them with your life, if you would do anything for them and if they mean the world to you, a best friend that you couldn't live without and who you never want to loose."
"alk","A-L-K","nick name for alchohol     pronounced a-l-k"
"all","Alley","1.  everything: a totality of  2.  dialog tag, somewhat [valley girl], used with the verb ""to be"": said"
"alm","Alms","–noun (used with a singular or plural verb) money, food, or other donations given to the poor or needy; anything given as charity: the hands of the beggars were outstretched for alms. -pl.n. money or goods given as charity to the poor. - not found in the old testament, but repeatedly in the new. "
"aly","Alys","the best person in the world. & all alys are funny :) doesnt have a problem telling the truth. gets along with everyone worth getting along with."
"amn","A.M.N","a.m.n. all money necessary after taking the regional underground scene by storm late last year with their debut hit single “get’em gone,” nashville’s newest hip hop sensations a.m.n. wow fam is in perfect position to shake up the rap world.

with a trendsetting sound that has been described as ghetto and classical, “get’em gone” has been racking up spins on radio and keeping nightclubs jumping for months. now, a.m.n. has had the southeast patiently waiting for their highly anticipated forthcoming mixtape wow fam.

made up of brandon ""beezy"" mclemore, de andre ""deesky"" bowling and ashley ""e. wow"" bowling, the group collectively known as all money necessary is more than just a tenacious musical trio but blood relatives as well."
